method,risk_col,AUSE_MAE,AUSE_RMSE,accepted_ratio,rejected_ratio,accepted_n,rejected_n,accepted_mae,rejected_mae,accepted_rmse,rejected_rmse,mae_ratio_rejected_over_accepted,rmse_ratio_rejected_over_accepted
Raw MC,raw_mc_width,0.012088207056255431,0.02984268591976507,0.8001165501165501,0.1998834498834499,5492,1372,0.027785693232966133,0.058665270927769665,0.053117266029125046,0.09587886272635653,2.111348111270684,1.8050413715529827
Split CP,split_width,0.014916530358320029,0.03516266379946254,0.8001165501165501,0.1998834498834499,5492,1372,0.03386505991230153,0.034330080109322154,0.0640874287441934,0.063608092814997,1.0137315628032215,0.9925205935299779
Pred-L-Mondrian CP,pred_l_mondrian_width,0.011371441318185916,0.02677021583896229,0.8001165501165501,0.1998834498834499,5492,1372,0.031072475512773128,0.04550855935291546,0.059455687640688495,0.07960236599195969,1.4645939405184505,1.338851994665752
Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width,0.010401020174421554,0.024882846269646975,0.8001165501165501,0.1998834498834499,5492,1372,0.029214971414648582,0.05294399120925655,0.05584256608986557,0.08946562262137513,1.8122212223938745,1.602104431902379
Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width,0.010294786805289571,0.025879110802608716,0.8001165501165501,0.1998834498834499,5492,1372,0.028553782766615077,0.05559067346508746,0.05483247107117445,0.09193254467833116,1.946875968044548,1.6766077268157316
