method,spearman_width_error,p_value,mean_width,median_width
Split CP,0.15119303652145463,2.209384531193885e-36,0.14259090049031176,0.1600073259999999
Irradiance-Mondrian CP,0.23806196839568686,4.69247873632266e-89,0.14514983320199587,0.13243513499999995
Pred-L-Mondrian CP,0.3145582530045761,1.713973274369767e-157,0.14297195975852273,0.1442243825
