confidence,alpha,q,PICP,MPIW,PINAW,Pearson_width_error,Spearman_width_error,Mean_abs_error
80,0.2,0.045974076,0.8085664335664335,0.085157126,0.086415336,0.17290854,0.20764613208874205,0.033776496
90,0.1,0.07944446,0.9035547785547785,0.14100249,0.14308582,0.162716,0.08568153105122125,0.033776496
95,0.05,0.12450773,0.9487179487179487,0.21018752,0.21329308,0.13331914,0.12731413458694688,0.033776496
