method,PICP,MPIW,Median_width,MAE,RMSE
Split CP,0.9038461538461539,0.14259090049031178,0.16000732599999995,0.03395800975354749,0.06399190454009
Irradiance-Mondrian CP,0.907051282051282,0.14514983320199593,0.13243513499999998,0.03395800975354749,0.06399190454009
Pred-L-Mondrian CP,0.9087995337995338,0.14297195975852273,0.1442243825,0.03395800975354749,0.06399190454009
