bin,q,calib_count
"(0.2, 0.4]",0.06302359000000002,2697
"(0.6, 0.8]",0.11642757,880
"(0.4, 0.6]",0.10986412100000001,1396
"(-0.001, 0.2]",0.068663701,1791
"(0.8, 1.0]",0.12113882999999998,99
