split,confidence,RMSE,MAE,R2,mean_pred_std,median_pred_std,max_pred_std,PICP,MPIW,PINAW,Pearson_std_error,Spearman_std_error
calibration,90,0.06561339622042812,0.03457627445459366,0.947586715221405,0.014648358337581158,0.01499233115464449,0.05538187175989151,0.5630190878624508,0.04818958,0.04842304,0.2587587,0.3189040136625039
calibration,95,0.06561339622042812,0.03457627445459366,0.947586715221405,0.014648358337581158,0.01499233115464449,0.05538187175989151,0.6255281946670552,0.057397235,0.057675302,0.2587587,0.3189040136625039
test,90,0.06399190490440439,0.03395800665020943,0.9484351277351379,0.014593379572033882,0.014842862263321877,0.041402313858270645,0.5590034965034965,0.048009567,0.048718918,0.26783198,0.3082617763869013
test,95,0.06399190490440439,0.03395800665020943,0.9484351277351379,0.014593379572033882,0.014842862263321877,0.041402313858270645,0.6257284382284383,0.05718062,0.058025476,0.26783198,0.3082617763869013
