method,AURC_RMSE,AUSE_RMSE,AURC_MAE,AUSE_MAE
Random,0.0638798628549768,0.04886859859212528,0.03393633168089418,0.02249567486689038
Raw MC,0.048286984270090184,0.03327572000723867,0.0246088516569831,0.013168194842979297
Split CP,0.05931557914035506,0.044304314877503546,0.03050819708159342,0.019067540267589618
MC+CP,0.04879549247630163,0.03378422821345012,0.02492881113685567,0.013488154322851867
