coverage,retained_n,retained_mae,retained_rmse,method,risk_col
0.7000000000000001,4804,0.026297198826987927,0.05055894284356148,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.75,5148,0.027839882440510878,0.053248636732982024,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.8,5491,0.029212656924831545,0.05584478496998216,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.85,5834,0.030429229811904355,0.05751545977326337,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.9,6177,0.03142894131979116,0.05920548105363422,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.9500000000000001,6520,0.03204437088962423,0.060619022553198745,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
1.0,6864,0.03395800975354749,0.06399190454009,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.1,686,0.011213498679212829,0.017288022541961358,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.15000000000000002,1029,0.012818269251360544,0.021347988098394888,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.2,1372,0.014520911600840378,0.02704725746385895,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.25,1716,0.01523074370315909,0.02928323810998406,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.30000000000000004,2059,0.015680628321680913,0.02925329125816762,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.35,2402,0.01642557939173231,0.03565843807025055,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.4,2745,0.0167273476047796,0.035359080943166456,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.45000000000000007,3088,0.017908622144676166,0.03760979199139644,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.5,3432,0.019565416609629956,0.04053999062880215,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
