epoch,learning_rate,train_loss,train_mae,train_rmse,train_r2,train_sample_count,train_duration_seconds,train_samples_per_second,validation_loss,validation_mae,validation_rmse,validation_r2,validation_sample_count,validation_duration_seconds,validation_samples_per_second,epoch_duration_seconds,epoch_samples_per_second,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,non_finite_detected,gpu_temperature_min_c,gpu_temperature_max_c,gpu_sm_clock_min_mhz,gpu_sm_clock_max_mhz,gpu_thermal_slowdown_observed,gpu_power_brake_slowdown_observed,improved
1,0.0001,0.012962744597537127,0.06847738476920895,0.113854049721887,0.7744053936008646,19216,145.3795761999936,132.1781264072831,0.0641903825309844,0.1794706778916169,0.25335820952778737,0.3923664180027433,6500,37.31602910000947,174.18788002816595,182.86285119999957,140.62998488344724,1812708864,2262827008,False,67.0,84.0,210.0,1860.0,True,False,True
2,0.0001,0.010058793718721112,0.05788621912018129,0.10029353762284837,0.8249437394273966,19216,106.4956242999906,180.43933848277086,0.06411284171367207,0.18137175283353169,0.2532051380414243,0.39310042443878424,6500,12.715565599995898,511.1844965828415,119.3927423999994,215.3899766691357,1813888512,2149580800,False,77.0,84.0,1627.0,1912.0,True,False,True
3,0.0001,0.009513650366146239,0.055753193960239054,0.09753794340518442,0.8344310346174113,19216,107.6822428000014,178.4509636903639,0.0695295453511465,0.19852955913201228,0.2636845568001259,0.3418252821252432,6500,12.781726100001833,508.538514215155,120.60434520000126,213.22614833946903,1812512256,2149580800,False,77.0,85.0,1650.0,1905.0,True,False,False
4,0.0001,0.009359179096037427,0.05502566494066495,0.09674285023607102,0.8371193464137224,19216,108.11727199998859,177.73293429011073,0.07453819742227474,0.18915853373879676,0.2730168446338642,0.29441280349399224,6500,12.828750100001344,506.67445770880823,121.12534159999632,212.3089987636475,1812512256,2149580800,False,84.0,85.0,1657.0,1755.0,True,False,False
5,5e-05,0.009065380745678272,0.05433222983974499,0.09521229295561193,0.8422324087442538,19216,108.49882189999335,177.10791383257572,0.0780953130600974,0.19716436128276724,0.27945538674292236,0.26074073469768677,6500,12.846960700000636,505.95624535534523,121.52524339999945,211.61035584480152,1812512256,2149580800,False,84.0,85.0,1665.0,1732.0,True,False,False
6,5e-05,0.008508988625666966,0.052394942758974876,0.09224417943355555,0.8519154703306251,19216,119.7192284000048,160.50888613979097,0.08568416875436938,0.19750864245829927,0.2927185827552348,0.18890375087837885,6500,23.60236150000128,275.3961716923812,143.49699580000015,179.2093266944894,1812512256,2149580800,False,82.0,85.0,1552.0,1777.0,True,False,False
7,5e-05,0.008209384384787612,0.051373724172180765,0.09060565312512564,0.8571295748474053,19216,108.64700160000939,176.8663627804924,0.07015809776775467,0.1824108849918753,0.26487374005466696,0.3358753298131293,6500,12.870120899999165,505.0457606812708,121.68021940000472,211.3408418131025,1812512256,2149580800,False,82.0,84.0,1590.0,1777.0,True,False,False
8,2.5e-05,0.008115347676528935,0.05135048812368432,0.09008522450469829,0.8587661243480176,19216,108.55011779999768,177.02422060384362,0.07297553683769925,0.18744912618199472,0.27013984598512003,0.30920513383713233,6500,12.817714699995122,507.11067862998027,121.51840440000524,211.6222651784497,1812512256,2149580800,False,84.0,85.0,1620.0,1650.0,True,False,False
9,2.5e-05,0.007748645379810557,0.04993376355749436,0.08802639024194339,0.8651479564540902,19216,108.46542100000079,177.16245253867461,0.07417318976743487,0.18895094661401696,0.2723475528228077,0.2978680107230892,6500,12.86279430000286,505.33343287613286,121.46275109999988,211.7192288755925,1812512256,2149580800,False,85.0,85.0,1635.0,1672.0,True,False,False
10,2.5e-05,0.007518001302043837,0.048941242742260783,0.08670640854686176,0.8691619261412771,19216,108.28093130000343,177.46430298756943,0.07487215935295591,0.20243300607873524,0.27362777495827456,0.2912514827153887,6500,12.822392799993395,506.92566523179266,121.25263699999778,212.0861091045836,1812512256,2149580800,False,85.0,85.0,1650.0,1672.0,True,False,False
