method,risk_col,AUSE_MAE,AUSE_RMSE,accepted_ratio,rejected_ratio,accepted_n,rejected_n,accepted_mae,rejected_mae,accepted_rmse,rejected_rmse,mae_ratio_rejected_over_accepted,rmse_ratio_rejected_over_accepted
Raw MC,raw_mc_width,0.0120882070562554,0.029842685919765,0.8001165501165501,0.1998834498834499,5492,1372,0.0277856932329661,0.0586652709277696,0.053117266029125,0.0958788627263565,2.111348111270684,1.8050413715529827
Split CP,split_width,0.01491653035832,0.0351626637994625,0.8001165501165501,0.1998834498834499,5492,1372,0.0338650599123015,0.0343300801093221,0.0640874287441934,0.063608092814997,1.0137315628032215,0.992520593529978
Pred-L-Mondrian CP,pred_l_mondrian_width,0.0113714413181859,0.0267702158389622,0.8001165501165501,0.1998834498834499,5492,1372,0.0310724755127731,0.0455085593529154,0.0594556876406884,0.0796023659919596,1.4645939405184505,1.338851994665752
Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width,0.0104010201744215,0.0248828462696469,0.8001165501165501,0.1998834498834499,5492,1372,0.0292149714146485,0.0529439912092565,0.0558425660898655,0.0894656226213751,1.8122212223938745,1.602104431902379
Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width,0.0102947868052895,0.0258791108026087,0.8001165501165501,0.1998834498834499,5492,1372,0.028553782766615,0.0555906734650874,0.0548324710711744,0.0919325446783311,1.946875968044548,1.6766077268157316
