coverage,retained_n,retained_mae,retained_rmse,method,risk_col
0.75,5148,0.0278398824405108,0.053248636732982,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.8,5491,0.0292126569248315,0.0558447849699821,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.85,5834,0.0304292298119043,0.0575154597732633,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.9,6177,0.0314289413197911,0.0592054810536342,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.95,6520,0.0320443708896242,0.0606190225531987,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
1.0,6864,0.0339580097535474,0.06399190454009,Pred-L-Mondrian MC-Interval CP,pred_l_mondrian_mc_width
0.1,686,0.0112134986792128,0.0172880225419613,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.15,1029,0.0128182692513605,0.0213479880983948,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.2,1372,0.0145209116008403,0.0270472574638589,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.25,1716,0.015230743703159,0.029283238109984,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.3,2059,0.0156806283216809,0.0292532912581676,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.35,2402,0.0164255793917323,0.0356584380702505,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.4,2745,0.0167273476047796,0.0353590809431664,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.45,3088,0.0179086221446761,0.0376097919913964,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.5,3432,0.0195654166096299,0.0405399906288021,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.55,3775,0.0212979206346198,0.0429378935418809,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.6,4118,0.0230306082719305,0.0451753666874268,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.65,4461,0.0245099009703541,0.0479332126684636,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.7000000000000001,4804,0.0256997767298813,0.0497901572900207,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.75,5148,0.0267705060335955,0.0512355582391158,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.8,5491,0.0285586458212074,0.054837458096534,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.85,5834,0.0296328054741772,0.0567808766355518,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.9,6177,0.0305201157326614,0.0574645718379576,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
0.95,6520,0.0317927080822622,0.059866770344571,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
1.0,6864,0.0339580097535474,0.06399190454009,Pred-L-Mondrian Std-MC CP,pred_l_mondrian_std_mc_width
