bin,coverage,n,label
"(-0.001, 0.1]",0.9424320827943079,3092,0.0–0.1
"(0.1, 0.2]",0.9233644859813084,1070,0.1–0.2
"(0.2, 0.3]",0.5516129032258065,310,0.2–0.3
"(0.3, 0.4]",0.775,400,0.3–0.4
"(0.4, 0.5]",0.7169811320754716,265,0.4–0.5
"(0.5, 0.6]",0.8805970149253731,335,0.5–0.6
"(0.6, 0.7]",0.9542203147353362,699,0.6–0.7
"(0.7, 0.8]",0.9375,256,0.7–0.8
"(0.8, 0.9]",0.9940298507462687,335,0.8–0.9
"(0.9, 1.0]",0.9411764705882353,102,0.9–1.0
