epoch,learning_rate,train_loss,train_mae,train_rmse,train_r2,train_sample_count,train_duration_seconds,train_samples_per_second,validation_loss,validation_mae,validation_rmse,validation_r2,validation_sample_count,validation_duration_seconds,validation_samples_per_second,epoch_duration_seconds,epoch_samples_per_second,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,non_finite_detected,gpu_temperature_min_c,gpu_temperature_max_c,gpu_sm_clock_min_mhz,gpu_sm_clock_max_mhz,gpu_thermal_slowdown_observed,gpu_power_brake_slowdown_observed,improved
1,0.0001,0.01399939935748451,0.07154399646222506,0.11831905754282795,0.7913509277924556,19805,169.80752159999975,116.63205383005855,0.007005070976693497,0.055504315786203226,0.08369630241591901,0.9032420479543951,5911,54.321038599999156,108.81603430903643,224.33818109999993,114.63050950090818,1806679040,2390753280,False,50.0,79.0,1740.0,1920.0,False,False,True
2,0.0001,0.009594799499729273,0.05679206493067513,0.09795304723734782,0.856997721690769,19805,109.09017589999712,181.54705349595574,0.005688960212375007,0.04934944025757434,0.07542519606829082,0.921420905596096,5911,11.558239099991624,511.41008148934066,120.82432759999938,212.83793182061237,1806941184,2149580800,False,71.0,85.0,1702.0,1920.0,True,False,True
3,0.0001,0.009048739546753337,0.05431463581858341,0.095124862820451,0.8651362779273446,19805,110.21088279999094,179.70094691956888,0.005650335509189651,0.04626147302546011,0.07516871324301565,0.9219544122253047,5911,11.470907399998396,515.3036105932497,121.82694850000553,211.08630164859488,1804713472,2149580800,False,77.0,85.0,1665.0,1912.0,True,False,True
4,0.0001,0.008700976089372895,0.053020750361581014,0.09327902304334126,0.8703193937184015,19805,110.23196180000377,179.66658378023462,0.005134132155534315,0.03895191167498382,0.0716528590036459,0.9290844996674046,5911,11.493740599995363,514.2799203248405,121.86522900000273,211.0199948830312,1804713472,2149580800,False,80.0,85.0,1657.0,1897.0,True,False,True
5,0.0001,0.00858547404593967,0.052500276579760245,0.09265783339685187,0.8720408529714379,19805,110.93680619999941,178.5250601526701,0.00506552069350761,0.0409928712129307,0.07117247114662983,0.9300322007603056,5911,11.607071000005817,509.2585373172127,122.69178880000254,209.59837859988448,1804713472,2149580800,False,85.0,85.0,1657.0,1687.0,True,False,True
6,0.0001,0.008402343098416537,0.051762600631761815,0.09166429562768835,0.8747702638239975,19805,111.244847199996,178.03071781288503,0.004901498514586209,0.03569170470183547,0.07001070245446339,0.9322977668338097,5911,11.554754400000093,511.56431330119426,122.93030170000566,209.1917098093221,1804713472,2149580800,False,78.0,85.0,1650.0,1905.0,True,False,True
7,0.0001,0.008289849993153726,0.05139293911851796,0.09104861320831509,0.876446877633396,19805,110.63286649998918,179.01551886483875,0.005053695863857129,0.04118441739918843,0.07108935138167716,0.9301955310748516,5911,11.597030299992184,509.69945297150633,122.37507570000889,210.14083017231695,1804713472,2149580800,False,81.0,85.0,1672.0,1897.0,True,False,False
8,0.0001,0.008126622431047921,0.05078911097752947,0.09014778097302811,0.8788796446779318,19805,110.66245530000015,178.96765390131347,0.004946233608034466,0.03813466693519643,0.07032946492935917,0.931679859565078,5911,11.506351199990604,513.7162856635931,122.31150339999294,210.25005240841054,1804713472,2149580800,False,84.0,85.0,1680.0,1687.0,True,False,False
9,5e-05,0.00807964846014984,0.05095870806200759,0.08988686478108418,0.8795797512821337,19805,110.6805386999913,178.93841349727327,0.005683679881704801,0.041386970808019216,0.07539018450557544,0.9214938398011598,5911,11.572660899997572,510.7727644556871,122.39517020000494,210.1063298329313,1804713472,2149580800,False,84.0,84.0,1635.0,1687.0,True,False,False
10,5e-05,0.007468651901418943,0.04850492556854505,0.0864213625280248,0.8886861323282802,19805,110.84310260000348,178.67598015069797,0.005429951786544063,0.03762757928220441,0.07368820626406905,0.924998475041109,5911,11.60787020000862,509.22347494854057,122.59745380000095,209.75965815694454,1804713472,2149580800,False,84.0,84.0,1642.0,1687.0,True,False,False
11,5e-05,0.007222449604149817,0.04774709610573898,0.08498499640482038,0.8923555668110374,19805,110.65143779999926,178.98547360764735,0.0050784210497916565,0.03795323359838432,0.07126304071603214,0.9298540142972144,5911,11.51125559999491,513.4974155210847,122.30756899999687,210.25681574948692,1804713472,2149580800,False,84.0,85.0,1642.0,1717.0,True,False,False
12,2.5e-05,0.007159041722167102,0.04754480582128667,0.08461112055757533,0.8933006071990166,19805,110.51771159999771,179.20204565654805,0.005349776447897885,0.03763786581172972,0.07314216588387071,0.9261059012148091,5911,11.473366199992597,515.1931784417213,122.13132410000253,210.56023251613522,1804713472,2149580800,False,85.0,85.0,1672.0,1717.0,True,False,False
13,2.5e-05,0.00654316970976119,0.045811919394630835,0.08088986161725445,0.9024796526654072,19805,110.7357689999917,178.84916661391932,0.005601845813670998,0.039065470767391905,0.07484547957444429,0.9226241781750566,5911,11.57537720000255,510.6529055483996,122.45829609999782,209.9980223389737,1804713472,2149580800,False,84.0,85.0,1650.0,1672.0,True,False,False
14,2.5e-05,0.0064551623990043066,0.04523665913993413,0.08034402533198881,0.9037913262758459,19805,110.92310869999346,178.54710557711917,0.005543560820443283,0.03954297306637774,0.07445509235260238,0.9234292436253048,5911,11.655333999995491,507.1497736574762,122.71541959999013,209.5580171084064,1804713472,2149580800,False,84.0,85.0,1650.0,1672.0,True,False,False
