method,confidence,PICP,MPIW,PINAW,Pearson_uncertainty_error,Spearman_uncertainty_error
Raw MC Dropout,90,0.5590034965034965,0.048009567,0.048718918,0.26783198,0.3082617763869013
Raw MC Dropout,95,0.6257284382284383,0.05718062,0.058025476,0.26783198,0.3082617763869013
MC + Conformal,80,0.8114801864801865,0.09524471516494874,0.09665197075875534,0.26805679083837797,0.3095472170973758
MC + Conformal,90,0.9010780885780886,0.14279745788942344,0.14490731270969598,0.261633845206491,0.2932754537187643
MC + Conformal,95,0.9494463869463869,0.20861745064097678,0.2116998061698033,0.24854295673240104,0.2579126019284265
