x_bin,y_bin,z_mean,count,x_center,y_center
"(0.429, 0.5]","(0.4, 0.5]",0.049062115714285724,21,0.4645,0.45
"(0.429, 0.5]","(0.5, 0.6]",,10,0.4645,0.55
"(0.429, 0.5]","(0.6, 0.7]",,14,0.4645,0.6499999999999999
"(0.429, 0.5]","(0.7, 0.8]",,9,0.4645,0.75
"(0.429, 0.5]","(0.8, 0.9]",,1,0.4645,0.8500000000000001
"(0.429, 0.5]","(0.9, 1.0]",,0,0.4645,0.95
"(0.5, 0.571]","(-0.001, 0.1]",0.026999117222222233,18,0.5355,0.0495
"(0.5, 0.571]","(0.1, 0.2]",,6,0.5355,0.15000000000000002
"(0.5, 0.571]","(0.2, 0.3]",0.017899230606060603,33,0.5355,0.25
"(0.5, 0.571]","(0.3, 0.4]",0.02667813701492538,67,0.5355,0.35
"(0.5, 0.571]","(0.4, 0.5]",0.034126435380000014,50,0.5355,0.45
"(0.5, 0.571]","(0.5, 0.6]",0.07985028592592593,27,0.5355,0.55
"(0.5, 0.571]","(0.6, 0.7]",0.05187536194444445,36,0.5355,0.6499999999999999
"(0.5, 0.571]","(0.7, 0.8]",,4,0.5355,0.75
"(0.5, 0.571]","(0.8, 0.9]",,3,0.5355,0.8500000000000001
"(0.5, 0.571]","(0.9, 1.0]",,0,0.5355,0.95
"(0.571, 0.643]","(-0.001, 0.1]",0.023832487000000003,80,0.607,0.0495
"(0.571, 0.643]","(0.1, 0.2]",0.03552260958333333,24,0.607,0.15000000000000002
"(0.571, 0.643]","(0.2, 0.3]",,12,0.607,0.25
"(0.571, 0.643]","(0.3, 0.4]",0.02102763867924528,53,0.607,0.35
"(0.571, 0.643]","(0.4, 0.5]",0.026674595319148953,47,0.607,0.45
"(0.571, 0.643]","(0.5, 0.6]",0.023351444027777776,72,0.607,0.55
"(0.571, 0.643]","(0.6, 0.7]",0.022140915915492963,71,0.607,0.6499999999999999
"(0.571, 0.643]","(0.7, 0.8]",0.06921462656249999,32,0.607,0.75
"(0.571, 0.643]","(0.8, 0.9]",,7,0.607,0.8500000000000001
"(0.571, 0.643]","(0.9, 1.0]",,0,0.607,0.95
"(0.643, 0.714]","(-0.001, 0.1]",0.02252972844444444,45,0.6785,0.0495
"(0.643, 0.714]","(0.1, 0.2]",0.014128933582089567,67,0.6785,0.15000000000000002
"(0.643, 0.714]","(0.2, 0.3]",0.015609358404255312,94,0.6785,0.25
"(0.643, 0.714]","(0.3, 0.4]",0.018086442019230767,104,0.6785,0.35
"(0.643, 0.714]","(0.4, 0.5]",0.026911522000000004,50,0.6785,0.45
"(0.643, 0.714]","(0.5, 0.6]",0.03305769124999999,40,0.6785,0.55
"(0.643, 0.714]","(0.6, 0.7]",0.0863673527777778,18,0.6785,0.6499999999999999
"(0.643, 0.714]","(0.7, 0.8]",,9,0.6785,0.75
"(0.643, 0.714]","(0.8, 0.9]",,0,0.6785,0.8500000000000001
"(0.643, 0.714]","(0.9, 1.0]",,0,0.6785,0.95
"(0.714, 0.786]","(-0.001, 0.1]",,6,0.75,0.0495
"(0.714, 0.786]","(0.1, 0.2]",0.011002976304347833,46,0.75,0.15000000000000002
"(0.714, 0.786]","(0.2, 0.3]",,11,0.75,0.25
"(0.714, 0.786]","(0.3, 0.4]",0.027472093999999996,20,0.75,0.35
"(0.714, 0.786]","(0.4, 0.5]",0.061591519,30,0.75,0.45
"(0.714, 0.786]","(0.5, 0.6]",0.03219727086956524,23,0.75,0.55
"(0.714, 0.786]","(0.6, 0.7]",,12,0.75,0.6499999999999999
"(0.714, 0.786]","(0.7, 0.8]",0.014994746875000006,16,0.75,0.75
"(0.714, 0.786]","(0.8, 0.9]",,10,0.75,0.8500000000000001
"(0.714, 0.786]","(0.9, 1.0]",,1,0.75,0.95
"(0.786, 0.857]","(-0.001, 0.1]",,2,0.8215,0.0495
