x_bin,y_bin,z_mean,count,x_center,y_center
"(0.278, 0.333]","(0.25, 0.333]",0.06263090524242425,33,0.3055,0.2915
"(0.278, 0.333]","(0.333, 0.417]",0.08407367348148148,27,0.3055,0.375
"(0.278, 0.333]","(0.417, 0.5]",0.15706154458333332,12,0.3055,0.4585
"(0.278, 0.333]","(0.5, 0.583]",,9,0.3055,0.5415
"(0.278, 0.333]","(0.583, 0.667]",,5,0.3055,0.625
"(0.278, 0.333]","(0.667, 0.75]",,7,0.3055,0.7085
"(0.278, 0.333]","(0.75, 0.833]",,7,0.3055,0.7915
"(0.278, 0.333]","(0.833, 0.917]",,1,0.3055,0.875
"(0.278, 0.333]","(0.917, 1.0]",,0,0.3055,0.9585
"(0.333, 0.389]","(-0.001, 0.0833]",,3,0.361,0.04115
"(0.333, 0.389]","(0.0833, 0.167]",0.02001890970149254,67,0.361,0.12515
"(0.333, 0.389]","(0.167, 0.25]",0.031170257500000003,36,0.361,0.20850000000000002
"(0.333, 0.389]","(0.25, 0.333]",0.06618406138461538,26,0.361,0.2915
"(0.333, 0.389]","(0.333, 0.417]",0.11752682760000002,10,0.361,0.375
"(0.333, 0.389]","(0.417, 0.5]",,6,0.361,0.4585
"(0.333, 0.389]","(0.5, 0.583]",,8,0.361,0.5415
"(0.333, 0.389]","(0.583, 0.667]",0.1310514926875,16,0.361,0.625
"(0.333, 0.389]","(0.667, 0.75]",,5,0.361,0.7085
"(0.333, 0.389]","(0.75, 0.833]",0.0639541905882353,17,0.361,0.7915
"(0.333, 0.389]","(0.833, 0.917]",,1,0.361,0.875
"(0.333, 0.389]","(0.917, 1.0]",,0,0.361,0.9585
"(0.389, 0.444]","(-0.001, 0.0833]",,7,0.4165,0.04115
"(0.389, 0.444]","(0.0833, 0.167]",0.03916321684210527,38,0.4165,0.12515
"(0.389, 0.444]","(0.167, 0.25]",0.029286260472727275,55,0.4165,0.20850000000000002
"(0.389, 0.444]","(0.25, 0.333]",0.02209867113207547,53,0.4165,0.2915
"(0.389, 0.444]","(0.333, 0.417]",0.06770153000000001,24,0.4165,0.375
"(0.389, 0.444]","(0.417, 0.5]",0.10798800464999998,20,0.4165,0.4585
"(0.389, 0.444]","(0.5, 0.583]",0.17890270945454545,11,0.4165,0.5415
"(0.389, 0.444]","(0.583, 0.667]",0.21959007054545454,11,0.4165,0.625
"(0.389, 0.444]","(0.667, 0.75]",,3,0.4165,0.7085
"(0.389, 0.444]","(0.75, 0.833]",,6,0.4165,0.7915
"(0.389, 0.444]","(0.833, 0.917]",,3,0.4165,0.875
"(0.389, 0.444]","(0.917, 1.0]",,0,0.4165,0.9585
"(0.444, 0.5]","(-0.001, 0.0833]",,5,0.472,0.04115
"(0.444, 0.5]","(0.0833, 0.167]",,2,0.472,0.12515
"(0.444, 0.5]","(0.167, 0.25]",,6,0.472,0.20850000000000002
"(0.444, 0.5]","(0.25, 0.333]",0.03922680928571428,14,0.472,0.2915
"(0.444, 0.5]","(0.333, 0.417]",0.0255740536,25,0.472,0.375
"(0.444, 0.5]","(0.417, 0.5]",0.05317206928571429,14,0.472,0.4585
"(0.444, 0.5]","(0.5, 0.583]",,9,0.472,0.5415
"(0.444, 0.5]","(0.583, 0.667]",,5,0.472,0.625
"(0.444, 0.5]","(0.667, 0.75]",,6,0.472,0.7085
"(0.444, 0.5]","(0.75, 0.833]",,5,0.472,0.7915
"(0.444, 0.5]","(0.833, 0.917]",,0,0.472,0.875
"(0.444, 0.5]","(0.917, 1.0]",,0,0.472,0.9585
"(0.5, 0.556]","(-0.001, 0.0833]",0.038266498181818195,11,0.528,0.04115
"(0.5, 0.556]","(0.0833, 0.167]",,2,0.528,0.12515
"(0.5, 0.556]","(0.167, 0.25]",,7,0.528,0.20850000000000002
"(0.5, 0.556]","(0.25, 0.333]",0.020571808333333334,30,0.528,0.2915
"(0.5, 0.556]","(0.333, 0.417]",0.0208455117948718,39,0.528,0.375
"(0.5, 0.556]","(0.417, 0.5]",0.029171602225000003,40,0.528,0.4585
"(0.5, 0.556]","(0.5, 0.583]",0.07509276173913045,23,0.528,0.5415
"(0.5, 0.556]","(0.583, 0.667]",0.0514776074074074,27,0.528,0.625
