epoch,learning_rate,train_loss,train_mae,train_rmse,train_r2,train_sample_count,train_duration_seconds,train_samples_per_second,validation_loss,validation_mae,validation_rmse,validation_r2,validation_sample_count,validation_duration_seconds,validation_samples_per_second,epoch_duration_seconds,epoch_samples_per_second,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,non_finite_detected,gpu_temperature_min_c,gpu_temperature_max_c,gpu_sm_clock_min_mhz,gpu_sm_clock_max_mhz,gpu_thermal_slowdown_observed,gpu_power_brake_slowdown_observed,improved
1,0.0001,0.012808801834552972,0.06827715292002687,0.11317597765783381,0.8296688787270651,18524,135.41911379998783,136.79014343100556,0.010732393451586669,0.0537579611886743,0.10359726534721868,0.8068751698947992,7192,37.30354449999868,192.79669255022816,172.8910382000031,148.74108147960408,1812708864,2367684608,False,66.0,82.0,210.0,1905.0,True,False,True
2,0.0001,0.008415720578789055,0.053428285073107734,0.09173723674860028,0.8880879619911347,18524,102.52709249999316,180.67419594485463,0.011498865381178334,0.0693623210867275,0.10723276235890317,0.7930828351360169,7192,14.06383869999263,511.3824293223563,116.74237010000797,220.2799204604999,1813954048,2151677952,False,82.0,85.0,1687.0,1905.0,True,False,False
3,0.0001,0.008095217401717245,0.051729681253461064,0.08997342594236009,0.8923500057765313,18524,103.54781449999427,178.89320107283407,0.010699564057598625,0.059987757925083256,0.10343869711748942,0.8074659195802247,7192,14.049357700001565,511.90952309508066,117.74985999999626,218.39516412164582,1813954048,2151677952,False,84.0,85.0,1642.0,1687.0,True,False,True
4,0.0001,0.007875106565759255,0.050567283094861096,0.08874179749506757,0.8952770329587678,18524,103.71514749999915,178.60457653979765,0.009762374218585678,0.05558942519451775,0.09880472750665194,0.8243302508185847,7192,14.08619539999927,510.57079614275216,117.97277249999752,217.98250100463258,1813954048,2151677952,False,79.0,85.0,1665.0,1905.0,True,False,True
5,0.0001,0.007767284219620797,0.050155267594513366,0.08813219729858318,0.8967108527766162,18524,103.78652850000071,178.48173811883373,0.010512725592542179,0.05209831848413451,0.10253158383679388,0.8108279962920277,7192,14.112651499992353,509.61366118931636,118.04839369999536,217.84286252427856,1813954048,2151677952,False,79.0,85.0,1657.0,1905.0,True,False,False
6,0.0001,0.007557931271516619,0.04959648328071741,0.08693636323704505,0.8994948229375578,18524,104.01511860000028,178.08949553992963,0.009933934516656872,0.05229168524325659,0.09966912503206618,0.8212430964491014,7192,14.151402799994685,508.2181676012149,118.3185622000019,217.34544032516638,1813954048,2151677952,False,84.0,85.0,1642.0,1657.0,True,False,False
7,0.0001,0.0073728119107608825,0.048934087377176604,0.08586507964739784,0.9019565353334327,18524,103.98626669999794,178.13890802948086,0.009476072566860352,0.05152377832685319,0.09734512079663352,0.8294821263205796,7192,14.166852700000163,507.6639217121187,118.32109290000517,217.34079165185665,1813954048,2151677952,False,84.0,85.0,1672.0,1890.0,True,False,True
8,0.0001,0.00727239988492474,0.04864222784489188,0.08527836705817479,0.9032918117448598,18524,103.75029249998624,178.54407494805335,0.01016601983822848,0.0574510168273013,0.10082668193576236,0.8170668206101486,7192,14.179854999994859,507.1984163450619,118.08284940000158,217.77929759204858,1813954048,2151677952,False,80.0,85.0,1672.0,1905.0,True,False,False
9,0.0001,0.007180864734517234,0.04829401832419174,0.08473998306976119,0.9045090439342869,18524,103.96289779999643,178.17895029856157,0.011168988381577987,0.0579083629061509,0.10568343420959149,0.7990188317257839,7192,14.15820309999981,507.97406628529694,118.27490899999975,217.4256587253012,1813954048,2151677952,False,84.0,85.0,1642.0,1695.0,True,False,False
10,5e-05,0.007221079237808988,0.04798816821295929,0.08497693376976052,0.9039742719770184,18524,103.94599130000279,178.20793056402843,0.010087722844575781,0.05613383891154419,0.10043765591319366,0.8184757428140583,7192,14.107273499990697,509.8079370194916,118.21627580000495,217.53349803969144,1813954048,2151677952,False,84.0,85.0,1657.0,1815.0,True,False,False
11,5e-05,0.00665287717133503,0.0461127085677413,0.08156517118887355,0.9115302093032543,18524,103.94997500001045,178.20110105844793,0.009984678959970449,0.05651620390326915,0.0999233655137989,0.820329971031585,7192,14.157657399991876,507.993645898235,118.25095770000189,217.46969749911455,1813954048,2151677952,False,83.0,85.0,1627.0,1680.0,True,False,False
12,5e-05,0.0063484487209458625,0.04505589347109436,0.079677153018978,0.9155784909065504,18524,104.11769889999414,177.91403570868817,0.010572037173593594,0.06303648864189698,0.10282041220678707,0.809760711528279,7192,14.210917899996275,506.0897579319549,118.50345370000286,217.0063335462043,1813954048,2151677952,False,84.0,85.0,1620.0,1672.0,True,False,False
13,2.5e-05,0.006220934645493404,0.0447146168581485,0.07887290185985175,0.9172741696966531,18524,104.38742419998744,177.45432595895235,0.011311232216785184,0.0663574427577822,0.10635427627083102,0.7964592150990695,7192,14.234592400011024,505.24804630123657,118.78603700001258,216.4900913395846,1813954048,2151677952,False,84.0,85.0,1627.0,1665.0,True,False,False
14,2.5e-05,0.005753952948657281,0.04315857882306021,0.07585481505286691,0.9234840801830546,18524,104.60759620000317,177.08083038810366,0.01269638878061217,0.07478461888039904,0.11267825366323239,0.7715339113260369,7192,14.189826200003154,506.8420076912853,118.95640930000809,216.18002889734376,1813954048,2151677952,False,84.0,85.0,1627.0,1650.0,True,False,False
15,2.5e-05,0.005480542788471076,0.04217630727323186,0.07403068820100961,0.9271198816671701,18524,104.6246061999991,177.05204036409705,0.01431761810346144,0.07525066225755536,0.11965624972481101,0.7423605841761423,7192,14.190089700001408,506.832595991221,119.00917969999136,216.08417153052494,1813954048,2151677952,False,84.0,85.0,1642.0,1672.0,True,False,False
