coverage,retained_n,oracle_mae,oracle_rmse
0.1,686,0.0014170633986880484,0.0016210320995617591
0.15000000000000002,1029,0.0021739784416909625,0.0025210634134600943
0.2,1372,0.002971223946282799,0.003465536069287718
0.25,1716,0.0037407382264918413,0.004350995849244693
0.30000000000000004,2059,0.0044948649474356485,0.005214896366212179
0.35,2402,0.005262262212756037,0.006103421941277763
0.4,2745,0.006048617930433516,0.007022291494206988
0.45000000000000007,3088,0.006854613034154793,0.007970842460574133
0.5,3432,0.007717415674874709,0.009009759813225503
0.55,3775,0.008648653784956292,0.01015791042748049
0.6,4118,0.009638882666223897,0.01139199755425065
0.65,4461,0.010729729389152882,0.012787853659136133
0.7000000000000001,4804,0.011945259092223355,0.01438676248126783
0.75,5148,0.01336894645693687,0.016348373129505978
0.8,5491,0.015072450386607178,0.018819599590610754
0.85,5834,0.017174765764029827,0.022043436443934115
0.9,6177,0.0198963625558475,0.026537221841148723
0.9500000000000001,6520,0.023954223402921776,0.034240258539745355
1.0,6864,0.03395800975354749,0.06399190454009
