row_type,fold,aggregate,train_dates,validation_dates,train_count,validation_count,best_epoch,validation_mae,validation_rmse,validation_r2,completed_epochs,early_stopped,training_time_seconds,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,gpu_max_temperature_c,thermal_slowdown_observed,steady_train_samples_per_second,sustained_throughput_decline,oom_occurred,non_finite_detected
fold,1,,2017-06-14;2017-06-16;2017-06-20;2017-06-21;2017-06-26;2017-06-29,2017-06-13;2017-06-28,19805,5911,6,0.03569170470183547,0.07001070245446339,0.9322977668338097,14,True,1816.624787599998,1806941184,2390753280,85.0,True,179.12705538697475,False,False,False
fold,2,,2017-06-13;2017-06-16;2017-06-20;2017-06-21;2017-06-26;2017-06-28,2017-06-14;2017-06-29,18524,7192,7,0.05152377832685319,0.09734512079663352,0.8294821263205796,15,True,1830.0909208999947,1813954048,2367684608,85.0,True,178.25110032390452,False,False,False
fold,3,,2017-06-13;2017-06-14;2017-06-20;2017-06-21;2017-06-28;2017-06-29,2017-06-16;2017-06-26,19216,6500,2,0.18137175283353169,0.2532051380414243,0.39310042443878424,10,True,1296.0961020000104,1813888512,2262827008,85.0,True,175.86193059402135,False,False,False
fold,4,,2017-06-13;2017-06-14;2017-06-16;2017-06-26;2017-06-28;2017-06-29,2017-06-20;2017-06-21,19603,6113,5,0.09061873422422703,0.14140915511328167,0.4205305140393588,13,True,1661.491818399998,1812708864,2290089984,85.0,True,177.80119276852707,False,False,False
aggregate,,mean,,,,,5.0,0.08980149252161185,0.1404925291014507,0.6438527079081331,13.0,,1651.0759072250003,1811873152.0,2327838720.0,85.0,,177.7603197683569,,,
aggregate,,std,,,,,2.160246899469287,0.06526569542894159,0.08069357501936893,0.27713314666313693,2.160246899469287,,248.711318759756,3337390.5471382877,61093988.84034005,0.0,,1.3801429713716475,,,
aggregate,,min,,,,,2.0,0.03569170470183547,0.07001070245446339,0.39310042443878424,10.0,,1296.0961020000104,1806941184.0,2262827008.0,85.0,,175.86193059402135,,,
aggregate,,max,,,,,7.0,0.18137175283353169,0.2532051380414243,0.9322977668338097,15.0,,1830.0909208999947,1813954048.0,2390753280.0,85.0,,179.12705538697475,,,
